"";"month.of.tweet";"day.of.tweet";"day.of.week";"hour.of.tweet";"period.of.tweet";"text";"route";"routetype";"disrupt";"disrupt_reason";"reasongroup"
"3454";"1";"23";"Tuesday";"18";"Evening Rush";"135 gerrard diverting southbound via mack wolcott butterworth due to autos in collision on danforth at warden. ";"135";"bus";"detour";"to autos in collision on danforth at warden";"collision on the road"
"3455";"1";"23";"Tuesday";"17";"Evening Rush";"trains turning back from victoria park station on line 2 due to trespasser at track level at warden station. ";"line 2";"subway";"no service";"to trespasser at track level at warden station";"person on track"
"3456";"1";"23";"Tuesday";"17";"Evening Rush";"elevator alert jane station westbound platform to concourse out of service. ";"jane";"elevator";"elevator down";NA;NA
"3457";"1";"23";"Tuesday";"16";"Evening Rush";"116 morningside diverting westbound via galloway kingston rd due to collision at kingston at guildwood. ";"116";"bus";"detour";"to collision at kingston at guildwood";"collision on the road"
"3458";"1";"23";"Tuesday";"15";"Midday";"501 queen turning back at kingston road due to stalled streetcar on queen at lockwood. ";"501";"streetcar";"no service";"to stalled streetcar on queen at lockwood";"stalled streetcar"
"3459";"1";"23";"Tuesday";"14";"Midday";"trains turning back from sheppard-yonge station on line 1 due to police investigation at finch station. ";"line 1";"subway";"no service";"to police investigation at finch station";"police/security"
"3460";"1";"23";"Tuesday";"13";"Midday";"502 downtowner diverting eastbound via parliament dundas broadview due to collision at queen and carroll. ";"502";"streetcar";"detour";"to collision at queen and carroll";"collision on the road"
"3461";"1";"23";"Tuesday";"11";"Midday";"elevator alert davisville station concourse to bus level out of service. ";"davisville";"elevator";"elevator down";NA;NA
"3462";"1";"23";"Tuesday";" 9";"Morning Rush";"trains holding westbound on line 2 at pape station due to medical emergency on board train. emergency response personnel en route. ";"line 2";"subway";"delay";"to medical emergency on board train";"medical"
"3463";"1";"23";"Tuesday";" 9";"Morning Rush";"511 bathurst diverting both ways via dundas spadina due to collision at bathurst and dundas. ";"511";"streetcar";"detour";"to collision at bathurst and dundas";"collision on the road"
"3464";"1";"23";"Tuesday";" 9";"Morning Rush";"505 dundas diverting eastbound via college spadina due to collision at dundas and bathurst ";"505";"streetcar";"detour";"to collision at dundas and bathurst ";"collision on the road"
"3465";"1";"23";"Tuesday";" 6";"Morning Rush";"elevator alert st andrew station subway platform to concourse out of service. ";"st andrew";"elevator";"elevator down";NA;NA
"3466";"1";"23";"Tuesday";" 1";"Late night";"trains are currently holding northbound at dundas station due to medical emergency on train. ";"line 1";"subway";"delay";"to medical emergency on train";"medical"
"3467";"1";"22";"Monday";"21";"Evening";"504 king 505 dundas and 506 carlton are holding both ways at broadview and gerrard due to stalled streetcar. ";"504";"streetcar";"delay";"to stalled streetcar";"stalled streetcar"
"3468";"1";"22";"Monday";"21";"Evening";"504 king 505 dundas and 506 carlton are holding both ways at broadview and gerrard due to stalled streetcar. ";"505";"streetcar";"delay";"to stalled streetcar";"stalled streetcar"
"3469";"1";"22";"Monday";"21";"Evening";"504 king 505 dundas and 506 carlton are holding both ways at broadview and gerrard due to stalled streetcar. ";"506";"streetcar";"delay";"to stalled streetcar";"stalled streetcar"
"3470";"1";"22";"Monday";"20";"Evening";"501 queen diverting westbound via shaw queen dufferin due to stalled streetcar at queen and roncesvalles. ";"501";"streetcar";"detour";"to stalled streetcar at queen and roncesvalles";"stalled streetcar"
"3471";"1";"22";"Monday";"19";"Evening Rush";"63 ossington diverting southbound via queen strachan and northbound via king strachan queen due to collision at king and shaw. ";"63";"bus";"detour";"to collision at king and shaw";"collision on the road"
"3472";"1";"22";"Monday";"19";"Evening Rush";"elevator alert finch station concourse to bus level out of service. ";"finch";"elevator";"elevator down";NA;NA
"3473";"1";"22";"Monday";"19";"Evening Rush";"514 cherry diverting eastbound via queen spadina and westbound via shaw queen roncesvalles due to collision at king and shaw. ";"514";"streetcar";"detour";"to collision at king and shaw";"collision on the road"
